player_index,Age,PER,DRB%,USG%,DWS,WS,VORP,FG%,2P%,FT%,DRB,AST,PF,ALL_STAR_PROB,ALL_STAR,Player,Year
David Lee: 2009,-0.39922105046315454,1.2202354730477336,2.312319175896114,0.07665950099502158,1.3131800424216136,1.8974444354656934,1.183604907395041,1.57604914129489,1.2497397033723396,0.1687957922925553,3.6011932465718615,0.29216052311425966,2.0550897382610738,0.12,False,David Lee,2009
Thabo Sefolosha: 2007,-1.1129689303483232,-1.1794298058640744,0.13252111076684495,-0.3329944139489044,0.14744773981145565,-0.7828528808903743,-0.6685312754484606,-0.3912374295458876,-0.6200908052046613,-1.871168385781095,-0.5282345762526948,-0.5353147569556685,-0.4534092915510426,0.0,False,Thabo Sefolosha,2007
Sebastian Telfair: 2006,-1.588800850271769,-0.15100182918758526,-1.2451112663948534,0.6911403734109106,-1.1015511558422848,-0.8482259861673516,-0.8057265482516829,-0.9030518219597491,-1.0875484323489109,0.06846968517417898,-0.6498988275317545,0.822035044562547,0.5970246771827811,0.0,False,Sebastian Telfair,2006
John Wall: 2014,-0.8750529703866003,1.3345052482340103,-0.512699116511419,1.7562405522651179,2.0625793798138576,1.5378923564423186,1.8009836350095414,-0.2792780312053554,-0.30288741535677793,0.5868212386191234,0.738504981182221,4.262590156432248,1.4122868618717188,0.66,True,John Wall,2014
Chris Andersen: 2016,2.4557704690775206,0.37463913666928716,0.6207958773558011,-1.6438869417694673,-0.9350179697551195,-0.6194201176979311,-0.32554309344040466,1.2401709462732953,1.8340617373026509,-0.3411952522258568,-0.9290109334072445,-0.8837254011956382,-1.5665557360301692,0.0,False,Chris Andersen,2016
Jarvis Varnado: 2014,-0.39922105046315454,-0.08243996407581915,-0.006985965401428439,-1.480025375791897,-1.018284562798702,-0.7828528808903743,-0.462738366243627,2.391753329204482,2.067790550874776,-1.804284314368844,-1.0578319053497782,-0.8764668461073056,-1.0491778111314203,0.0,False,Jarvis Varnado,2014
Jason Smith: 2010,-0.8750529703866003,-0.6994967500817129,0.010452419119605654,-0.6197521544096523,-0.768484783667954,-0.815539433528863,-0.5313360026452382,-0.31126643073122173,-0.469836567908296,-0.3746372879319832,-0.7930332408012365,-0.7312957443406515,-0.29662810218778535,0.0,False,Jason Smith,2010
Jarrett Jack: 2014,0.79035874934546,-0.49381115474641496,-0.756836499805897,-0.2100982394657263,-0.1023520393192925,-0.2925545913130449,-0.6685312754484606,-0.6471446257528184,-0.6868704662252685,0.8710785421211897,0.06577323881565555,1.3809437863641651,0.06396863334770639,0.0,False,Jarrett Jack,2014
Kevin Martin: 2007,-0.8750529703866003,1.4716289784575425,-0.5301375010324532,0.8959673308828735,0.31398092589862103,2.289683067127557,1.6637883622063194,0.36048995931197064,0.6487227541868749,0.9128810867538465,0.5810571265857908,0.28490196802592693,0.8165183422913412,0.1,False,Kevin Martin,2007
Mike Miller: 2014,1.5041066292306289,-0.2652716043738618,-0.40806880938521384,-0.8450618076288119,-0.1023520393192925,0.23043025090277325,0.08604272496926235,0.48844355741543694,0.48177360163535676,0.7205893814436243,-0.10598805710772287,-0.02721590077237929,-0.5317998862326713,0.0,False,Mike Miller,2014
